Razao;Codigo;Setor;Pais de Origem
3M;MMMC34;Indústria diversificada;EUA
AB INBEV;ABUD34;Bebidas;Bélgica
ABB LTD;A1BB34;Industrial;Switzerland
ABBOTT;ABTT34;Farmacêuticos;EUA
ABBVIE;ABBV34;Medicamentos e Outros Produtos;EUA
ABIOMED INC;A1BM34;Saúde;EUA
ACTIVISION ;ATVI34;Tecnologia;EUA
ADOBE INC;ADBE34;Tecnologia;EUA
ADVANCE AUTO PARTS INC;A1AP34;Peças Automotivas;EUA
ADVANCED MIC;A1MD34;Tecnologia;EUA
AEGON NV;A1EG34;Financeiro;Holanda
AES CORP;A1ES34;Energia;EUA
AFLAC INC;A1FL34;Seguros;EUA
AIRBNB;AIRB34;Hospedagem;EUA
AGILENT TECHNOLOGIES INC;A1GI34;Tecnologia;EUA
AIR PRODUCTS & CHEMICALS INC;A1PD34;Químicos;EUA
AKAMAI TECHNOLOGIES INC;A1KA34;Tecnologia;EUA
ALASKA AIR GROUP INC;A1LK34;Holding companhias aéras;EUA
ALBEMARLE CORP;A1LB34;Químicos;EUA
ALEXANDRIA REAL ESTATE EQUITIES INC;A1RE34;Fundo de investimento imobiliário;EUA
ALEXION PHAR;A1LX34;Farmacêuticos;EUA
ALIBABAGR;BABA34;Tecnologia / E-Commerce;China
ALIGN TECHNOLOGY INC;A1LG34;Equipamentos médicos;EUA
ALLEGION PLC;A1GN34;Produtos de segurança;EUA
ALLIANCE DATA SYSTEMS CORP;A1LL34;Serviços;EUA
ALLIANT ENERGY CORP;A1EN34;Energia;EUA
ALLSTATE CORP;A1TT34;Seguros;EUA
ALNYLAM PHARMACEUTICALS INC;A1LN34;Farmacêutico;EUA
ALPHABET;GOGL34;Tecnologia;EUA
ALPHABET;GOGL35;Tecnologia;EUA
ALTERYX INC;A1YX34;Tecnologia;EUA
ALTRIA GROUP;MOOO34;Comércio – Tabaco ;EUA
AMC;A2MC34;Entretenimento;EUA
AMCOR PLC;A1CR34;Industrial;Reino Unido
AMEREN CORP;A1EE34;Energia;EUA
AMÉRICA MÓVIL SAB DE CV;A1MX34;Comunicação;Mexico
AMERICAN AIR;AALL34;Transporte Aéreo;EUA
AMERICAN ELE;A1EP34;Energia Elétrica;EUA
AMERICAN TOWER CORP;T1OW34;Tecnologia;EUA
AMERICAN WATER WORKS CO INC;A1WK34;Tratamento de água;EUA
AMERIPRISE FINANCIAL INC;A1MP34;Serviços Financeiros ;EUA
AMERISOURCEBERGEN CORP;A1MB34;Medicamentos ;EUA
AMETEK INC;A1ME34;Eletroeletrônicos;EUA
AMGEN;AMGN34;Biotecnologia;EUA
AMPHENOL CORP;A1PH34;Eletroeletrônico;EUA
ANALOG DEVIC;A1DI34;Tecnologia;EUA
ANGLOGOLD ASHANTI LTD;A1UA34;Mineração;South Africa
ANSYS INC;A1NS34;Tecnologia;EUA
ANTHEM INC;A1NT34;Seguros;EUA
AO SMITH COR;A1OS34;Aquecedores de água;EUA
AON PLC;A1ON34;Seguros;EUA
APACHE CORP;A1PA34;"Petróleo, Gás e Biocombustíveis";EUA
APARTMENT INVESTMENT & MANAGEMENT CO;A1IV34;Fundo de investimento imobiliário;EUA
APPLE;AAPL34;Computadores Pessoais;EUA
APPLIED MATE;A1MT34;Semicondutores;EUA
APTIV PLC;APTV34;"Comercio – Farmacéutico, diversos";Irlanda
ARCELOR;ARMT34;Ferro & Aço;EUA
ARCHER DANIE;A1DM34;Industrial;EUA
ARGENX SE;A1RG34;Farmacêutico;Holanda
ARISTA NETWORKS INC;A1NE34;Computadores;EUA
ARMSTRONG;AWII34;Industrial;EUA
ARTHUR J GALLAGHER & CO;A1JG34;Seguros;EUA
ASCENDIS PHARMA A/S;A1SN34;Farmacêutico;Dinamarca
ASML HOLD;ASML34;Sistemas de Fotolitografia;Holanda
ASSURANT INC;A1SU34;Gerenciamento de riscos;EUA
ASTRAZENECA PLC;A1ZN34;Farmacêutico;Reino Unido
ATLASSIAN CORPORATION PLC;T1AM34;Tecnologia;Austrália
ATMOS ENERGY CORP;A1TM34;Energia;EUA
AUTODESK INC;A1UT34;Tecnologia;EUA
AUTOHOME INC;A1TH34;Comunicação;China
AUTOMATIC DT;ADPR34;Serviços Financeiros ;EUA
AUTOZONE INC;AZOI34;Comércio – Auto peças;EUA
AVALARA;A2VL34;Tecnologia;EUA
AVALONBAY COMMUNITIES INC;A1VB34;Fundo de investimento imobiliário;EUA
AVERY DENNISON CORP;A1VY34;Materias para embalagens;EUA
BAIDU INC;BIDU34;Tecnologia;China
BAKER HUGHES;B1KR34;"Petróleo, Gás e Biocombustíveis";EUA
BALL CORP;B1LL34;Embalagens;EUA
BANCO SANTANDER CHILE;B1SA34;Financeiro;Chile
BANK AMERICA;BOAC34;Bancos;EUA
BARCLAYS PLC;B1CS34;Financeiro;Reino Unido
BAXTER INTERNATIONAL INC;B1AX34;Medicamentos e Outros Produtos;EUA
BBT CORP;B1BT34;Instituição Financeira;EUA
BECTON DICKINSON AND CO;B1DX34;Saúde;EUA
BEIGENE LTD;B1GN34;Farmacêutico;China
BEST BUY;BBYY34;Comércio ;EUA
BHP GROUP;BHPG34;Mineração/Petróleo;Austrália
BHP GROUP PLC;B1BL34;Mineração;Australia
BILBAOVIZ;BILB34;Instituição Financeira;Espanha
BILIBILI INC;B1IL34;Tecnologia;China
BILL.COM;B2HI34;Meios de pagamentos;EUA
BIOGEN;BIIB34;Medicamentos e Outros Produtos;EUA
BIOMARIN PHARMACEUTICAL INC;B1MR34;Biotecnologia;EUA
BIONTECH SE;B1NT34;Farmacêutico;Germany
BIO-TECHNE CORPORATION;T1CH34;Farmacêutico;EUA
BLACKROCK;BLAK34;Gestão de Recursos e Investimentos;EUA
BOOKING ;BKNG34;Comunicação ;EUA
BORGWARNER INC;B1WA34;Automóveis;EUA
BOSTON PROP;BOXP34;Imobiliário;EUA
BOSTON SCIEN;B1SX34;Soluções Médicas;EUA
BP PLC;B1PP34;Energia;Reino Unido
BRITISH AMERICAN TOBACCO PLC;B1TI34;Tabaco;Reino Unido
BROADCOM INC;AVGO34;Tecnologia;EUA
BROADRIDGE FINANCIAL SOLUTIONS INC;B1RF34;Tecnologia;EUA
BROOKFIELD ASSET MANAGEMENT INC;B1AM34;Financeiro;Canadá
BROWN FORMAN CORP;B1FC34;Bebidas;EUA
